ID,name
351,"Broccoli, raw"
1005,"Broccoli, steamed (without addition of salt)"
829,Brown bread
14077,Brown bread (with iodized salt)
864,Brunsli (chocolate cookie)
1021,"Brussel sprouts, steamed (without addition of salt)"
363,"Brussels sprouts, raw"
420,Buckwheat flour
421,"Buckwheat, grain peeled"
1583,"Burger patty (beef), pan fried in HOLL rapeseed oil"
901,Butter cake
836,"Butter croissant, white"
834,"Butter croissant, wholemeal"
49,Butter of choice
191,"Butter, 40% fat"
60,"Butter, cheese dairy"
50,"Butter, clarified"
448,"Butterhead lettuce, raw"
529,Buttermilk
781,Cabbage sausage
10582,"Cabbage vegetables (average), boiled (without addition of salt and fat)"
1167,"Cabbage vegetables (average), raw"
1176,"Cake dough (with butter), raw"
906,"Cake dough (with vegetable fat), raw"
13417,"Cake dough, whole (with butter), raw"
13416,"Cake dough, whole (with vegetable fat), raw"
877,Cake financier
916,Cake with carrots
10486,Calimocho (red wine mixed with cola)
622,"Camembert, at least 25% fidm"
614,"Camembert, at least 45% fidm"
619,"Camembert, at least 50% fidm"
856,Candied lemon peel
855,Candied orange peel
953,"Candy, toffee"
1644,"Cannelloni filled with meat, prepared"
1646,"Cannelloni filled with spinach and ricotta, prepared"
1121,"Cappuccino (without chocolate powder), no sugar added"
1692,"Capuns, prepared"
14060,Carnival pastry
566,Carrot juice
355,"Carrot, raw"
1002,"Carrot, steamed (without addition of salt)"
275,Cashew nut
350,"Cauliflower, raw"
1004,"Cauliflower, steamed (without addition of salt)"
1660,"Celeriac piccata, prepared"
1655,"Celeriac slices, breaded, prepared"
357,"Celeriac, raw"
1013,"Celeriac, steamed"
366,"Celery, raw"
1026,"Celery, steamed (without addition of salt)"
13448,"Cereal bar, with chocolate coating"
13488,"Cereal bar, without cover and filling"
1696,Cereal flakes (average)
1081,Cervelat (Swiss sausage)
376,"Chanterelle, raw"
1038,"Chanterelle, stewed (without addition of fat and salt)"
1569,"Cheese and sausage salad, prepared"
1601,"Cheese bread slices, prepared"
1196,Cheese grated
14024,Cheeseburger
882,Cherry pie from Zug
1546,"Cherry pie, home-made, baked (with cake dough)"
1545,"Cherry pie, home-made, baked (with puff pastry)"
394,"Cherry, raw"
1052,"Cherry, stewed, drained (without addition of sugar)"
272,"Chestnut, raw"
13457,Chia seed
1070,"Chicken egg, whole, hard boiled"
20,"Chicken, breast, with skin, raw"
22,"Chicken, breast, without skin, raw"
13276,"Chicken, brest (schnitzel, ground), pan fried (without addition of fat and salt)"
13310,"Chicken, leg with skin, roasted (without addition of fat and salt)"
24,"Chicken, leg, with skin, raw"
26,"Chicken, leg, without skin, raw"
13309,"Chicken, whole with skin, roasted (without addition of fat and salt)"
711,"Chicken, whole, with skin, raw"
13460,Chickenburger
1059,"Chickpea, cooked (without addition of fat and salt)"
439,"Chickpea, dried"
447,"Chicory, raw"
1006,"Chicory, steamed (without addition of salt)"
1648,"Chili con carne, prepared"
437,"Chinese cabbage, raw"
1007,"Chinese cabbage, stewed (without addition of fat and salt)"
374,"Chives, fresh"
14035,Chocolate meringues
14039,Chocolate meringues with chocolate base
960,Chocolate powder
889,Chocolate ring cake
807,Chocolate sauce
196,"Chocolate, dark"
197,"Chocolate, white"
13322,"chop (average of veal, pork, lamb), pan fried (without addition of fat and salt)"
1107,"Chop (average of veal, pork, lamb), raw"
867,Chräbeli (aniseed cookie)
512,"Cider, 4 vol%"
513,"Cider, 6.2 vol%"
911,Cinnamon
876,"Cinnamon cookie, star-shaped"
1126,"Citrus fruits (average), raw"
1683,"Cocktail sauce, with rapeseed mayonnaise, home-made"
888,Coco macaroon
581,Cocoa powder
284,Coconut
14124,"Coconut drink, plain"
14132,"Coconut drink, plain, with calcium and vitamin fortified"
601,Coconut fat
13458,Coconut milk
742,"Coconut, dried (coco flakes)"
13350,"Cod, filet, steamed (without addition of fat and salt)"
285,"Cod, raw"
69,Coffee cream UHT
1188,"Coffee with coffee cream, no sugar added"
994,"Coffee, black, no sugar added"
983,"Coffee, instant, powder"
498,"Cola beverage, sweetened"
499,"Cola beverage, with sweetener"
10353,Cold cuts (average)
1573,"Coleslaw salad, prepared"
13388,"Common bean (all types), mature seed, cooked (without addition of fat and salt)"
13387,"Common bean (all types), mature seed, dried"
526,"Condensed milk, sweetened"
527,"Condensed milk, unsweetened"
1118,Cooked cured meat (average)
1116,Cooked sausages (average)
1113,Cooked sausages not smoked (average)
1112,Cooked smoked sausages (average)
51,Cooking butter
715,Coppa (cured pork meat)
1650,"Cordon bleu from pork schnitzel, fried"
1649,"Cordon bleu from veal schnitzel, fried"
412,Corn germ oil
1619,"Corn semolina, cooked"
425,"Corn semolina, dried"
940,Cornflakes
758,Cotechino (pork sausage)
505,Cottage cheese
1093,Cotto (meat product)
64,"Cow milk, skimmed, UHT"
950,"Cracker, salty snacks"
987,"Cranberry, fresh"
1195,Cream (average)
567,"Cream cheese, min. 60% fidm"
924,Cream slice
65,"Cream, 35% fat, pasteurized"
66,"Cream, 35% fat, UHT"
798,"Cream, at least 45 % milk fat, pasteurized"
67,"Cream, pasteurized, 25% fat"
68,"Cream, UHT"
918,"Crispbread, wholemeal"
920,"Crispbread, wholemeal, with linseeds"
919,"Crispbread, wholemeal, with sesame"
10406,Croissant (average)
913,"Croissant filled with nuts, puff pastry"
914,"Croissant filled with nuts, yeast dough"
835,"Croissant, pretzel (with iodized salt)"
14056,"Croque Monsieur, Hot Sandwich with cheese and ham"
491,"Cucumber, pickled"
354,"Cucumber, raw"
1182,"Curd cheese puff pastry (with butter), raw"
1181,"Curd cheese puff pastry (with vegetable fat), raw"
13501,"Curd, with fruits, with sugar"
70,Curds min. 40% fidm
71,Curds with at most 10% fidm
571,"Curds, plain, half fat"
392,"Currant, black, raw"
391,"Currant, red, raw"
384,"Date, dried"
487,"Deer (average), raw"
12,"Deer, entrecôte, raw"
13419,Dough for french pizza from Alsace
709,"Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)"
47,Drinking water (average Switzerland)
10535,Dulce de Leche
423,Durum wheat semolina
455,"Edible boletus, fresh"
1040,"Edible boletus, stewed (without addition of fat and salt)"
517,"Egg liqueur, 16.5 vol%"
411,"Egg white, raw"
410,"Egg yolk, raw"
290,"Egg, raw"
1659,"Eggplant piccata, prepared"
1658,"Eggplant slices, breaded, prepared"
349,"Eggplant, raw"
1653,"Eggplant, steamed (without addition of salt)"
1003,"Eggplant, stewed (without addition of fat and salt)"
436,"Elderberry, raw"
555,"Emmentaler cheese, at least 45% fidm"
467,"Endive, raw"
13465,"Energy drink, with sugar"
14052,"Escalope (average of beef, veal, pork, poultry), breaded, fried"
13319,"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)"
1101,"Escalope (average of beef, veal, pork, poultry), raw"
1190,"Espresso with coffee cream, no sugar added"
765,"Eurasian perch, raw"
13384,Ewe's milk
14066,Falafel (deep fried in HOLL rapeseed oil)
1268,Farmers' bread
352,"Fennel, raw"
1008,"Fennel, steamed (without addition of salt)"
1269,Fermented dough
539,"Feta, cow milk"
549,"Feta, ewe-/goat milk"
387,"Fig, dried"
386,"Fig, fresh"
13345,"Fish (average), filet, steamed (without addition of fat and salt)"
1098,"Fish (average), raw "
773,"Fish fingers (sticks), breaded and pre deep fried"
1168,"Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil"
1169,"Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat)"
414,"Fish product, anchovy in oil, drained"
413,"Fish product, sardine in oil, drained"
760,"Fish, hake, raw"
415,"Fish, plaice, raw"
754,"Fish, pollock, raw"
757,"Fish, sardine, raw"
755,"Fish, sole, raw"
756,"Fish, tuna, raw"
13461,Fishburger
1185,"Flat white (little milk), no sugar added"
1186,"Flat white (much milk), no sugar added"
1187,"Flat white, no sugar added"
13405,"Flaxseed oil, cold pressed"
13351,"Flounder, filet, steamed (without addition of fat and Salt)"
481,"Flounder, raw"
1135,Flour (average)
1524,"Flour omelette filled with mushrooms, prepared"
1525,"Flour omelette filled with vegetables, prepared"
1527,"Flour omelette with bacon, prepared"
1523,"Flour omelette with cheese, prepared"
1526,"Flour omelette with ham, prepared"
1695,"Flour omelette with Nutella, prepared"
1694,"Flour omelette with sugar and cinnamon, prepared"
1522,"Flour omelette, prepared"
1136,"Flour, white and semi-white (average)"
1475,"Fondue moitié-moitié, prepared"
1476,"Fondue without alcohol, prepared"
797,"Fondue, prepared"
10450,"French fries (baked in the oven), unsalted"
10449,"French fries (deep fried in HO sunflower oil), unsalted"
818,"French fries for oven, deep-frozen"
1503,"French omelette with bacon, prepared"
1502,"French omelette with cheese, prepared"
1501,"French omelette with ham, prepared"
1500,"French omelette, prepared"
1504,"French pizza from Alsace, baked"
1515,French toast unsweetened
1120,"Fruit (average), dried"
775,"Fruit cocktail, in syrup, canned, drained"
777,"Fruit cocktail, with sweetener, canned, drained"
1130,"Fruit juice (average), no sugar added"
1131,"Fruit juice diluted (average, 60% juice - 40% water), no sugar added"
10456,Fruit pie (average)
10454,Fruit pie with cake dough (average)
10453,Fruit pie with puff pastry (average)
10455,Fruit pie with sweet short pastry base (average)
1124,"Fruits (average), cooked (without addition of sugar)"
1123,"Fruits, raw (average)"
13281,"Game meat (average), cooked (without addition of fat and Salt)"
1125,"Game meat (average), raw"
356,"Garlic, raw"
768,Glucose
687,"Goat (average), raw"
528,Goat milk
400,"Gooseberry, raw"
483,Gorgonzola
684,Goulash soup
573,Grape juice
592,Grape seed oil
478,"Grape, green, fresh"
388,"Grapefruit (white or red), raw"
669,Graubünden barley soup
651,"Gravy, brown"
650,"Gravy, thickened"
14068,"Green bean, dried, soaked, steamed (without addition of salt)"
1009,"Green bean, steamed (without addition of salt)"
369,"Green pea, raw"
1010,"Green pea, steamed (without addition of salt)"
1011,"Green peas (canned), heated (without addition of salt)"
1034,"Green peas and carrots (canned), heated (without addition of salt)"
815,"Green peas and carrots, canned"
630,"Green peas, canned"
530,"Greyerzer, at least 45% fidm"
1272,Grittibänz (Swiss bread man)
653,Ground meat sauce
753,"Halibut, raw"
13446,Ham croissant
691,"Ham, cooked"
693,"Ham, raw"
14025,"Hamburger, double"
1193,"Hard and semi hard cheese, full fat (average)"
952,Hard caramels
13329,"Hare (Durchschnitt), cooked (without addition of fat and salt)"
16,"Hare, filet, raw"
486,"Hare, fresh"
686,"Hare, meat, raw"
270,Hazelnut
703,Hazelnut-chocolate spread
903,Hazelnut cookie
869,Hazelnut macaroon
14108,Hazelnut oil
14091,Hempseed oil
666,Hollandaise sauce
472,"Honey, from flowers"
1670,"Horse ragout with sauce, prepared"
13328,"Horse, filet, pan fried (without addition of fat and salt)"
685,"Horse, filet, raw"
1590,Hot Dog in white bread with ketchup and mustard
14055,Hummus
652,Huntsman sauce
694,"Ice cream, dairy, fruit"
804,"Ice Tea, sweetened"
459,"Iceberg lettuce, raw"
696,Jam
697,"Jam, low calorie, with sweetener"
951,Jelly babies with fruit essence
13442,"Jerusalem artichoke, cooked (without addition of salt)"
13441,"Jerusalem artichoke, raw"
583,Kakaobutter
393,"Kaki, raw"
13400,"Kale, raw"
13401,"Kale, stewed (without addition of salt and fat)"
1572,Kebab in pita bread
635,Ketchup
395,"Kiwi fruit, raw"
449,"Kohlrabi, raw"
1014,"Kohlrabi, steamed (without addition of salt)"
852,Ladyfinger cookie
372,"Lamb's lettuce, raw"
1110,"Lamb (average excluding offal, chop), raw"
5,"Lamb (sheep), cutlet, raw (Switzerland)"
13273,"lamb (sheep), filet, pan fried ""medium"" (without addition of fat and salt)"
675,"Lamb (sheep), filet, raw"
17,"Lamb (sheep), filet, raw (Australia, New Zealand)"
4,"Lamb (sheep), leg, raw (Switzerland, New Zealand)"
18,"Lamb (sheep), racks, raw (Australia, New Zealand)"
1673,"Lamb ragout with sauce, prepared"
13304,"Lamb, leg, roast (without addition of fat and salt)"
19,"Lamb, ragout, raw (Switzerland)"
1090,Landjäger sausage
1184,"Latte macchiato, no sugar added"
1127,"Leafy salad (average), raw "
1164,"Leafy vegetables (average excluding salads), boiled (without addition of salt and fat)"
1165,"Leafy vegetables (average excluding salads), steamed (without addition of salt)"
1166,"Leafy vegetables (average excluding salads), stewed (without addition of salt and fat)"
880,Lebkuchen
993,"Lebkuchen, chocolate covered"
358,"Leek, raw"
1015,"Leek, stewed (without addition of fat and salt)"
1134,"Legumes/Pulses (average), cooked (without addition of fat and salt)"
1133,"Legumes/Pulses, (average) dried"
10534,Lemon Curd
605,Lemon juice
398,"Lemon, fresh"
13386,"Lentil, split, cooked (without addition of fat and salt)"
13385,"Lentil, split, dried"
1060,"Lentil, whole, cooked (without addition of fat and salt)"
370,"Lentil, whole, dried"
531,Limburger (Münster) cheese
277,Linseed
900,Linzertorte (Pastry base covered with raspberry sweetmeat)
13320,"Liver (average of beef, veal, pork), pan fried (without addition of fat and salt)"
10377,"Liver (average of beef, veal, pork), raw"
776,Liver sausage
786,Luganighe
1084,Luncheon meat
832,Lye roll (with iodized salt)
1083,Lyoner sausage
1092,Lyoner sausage (poultry)
1478,"Macaroni from the alps, prepared"
878,Madeleine biscuit (with butter)
14117,Madeleine biscuit (with vegetable oil)
426,Maize starch
13434,"Malt drink with cocoa, with vitamin and mineral fortified, powder "
14050,"Malt drink with cocoa, with vitamin and mineral fortified, prepared (with milk)"
397,"Mandarin, fresh"
13884,"Mango, dried"
396,"Mango, fresh"
14054,"Manioc, tuber, cooked (without addition of salt)"
13918,"Manioc, tuber, raw"
14093,Maple syrup
898,Marble cake
209,"Margarine, 35 - 40 % fat"
208,"Margarine, without butter, 70 - 80 % Fett"
496,Marzipan
866,"Mashed potatoes, instant, prepared (with water and butter)"
1519,"Mashed potatoes, prepared (with cream and butter)"
863,"Mashed potatoes, prepared (with full fat milk and butter)"
1518,"Mashed potatoes, prepared (with partially skimmed milk and butter)"
771,Mayonnaise
772,"Mayonnaise, low calorie"
1682,"Mayonnaise, with rapeseed oil, home-made"
1111,"Meat (average excluding offal), raw "
1664,"Meat lasagne, prepared"
1582,"Meat loaf, baked in the oven"
13318,"Meat, chopped (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)"
1104,"Meat, chopped (average of beef, veal, pork, poultry), raw"
399,"Melon, cantaloupe, raw"
854,"Meringue, biscuit"
879,"Milanese cookie, butter, sweet"
1194,Milk (average)
195,Milk chocolate
642,Milk chocolate filled with nuts (chocolate bar)
643,"Milk chocolate with almond, honey, nougat"
612,Milk chocolate with nuts
641,"Milk chocolate with raisins, nuts, almonds"
654,"Milk chocolate, filled with alcohol"
655,"Milk chocolate, filled with cream (gianduja, nougat)"
59,"Milk partially skimmed, pasteurized"
61,"Milk partially skimmed, UHT"
13399,"Milk, half skimmed 1.5 % fat, UHT"
1586,"Millet risotto, cooked"
422,"Millet, grain peeled"
938,"Millet, wholemeal flakes"
13317,"Minced meat (average of beef, veal, pork, chicken), pan fried (without addition of fat and salt)"
1105,"Minced meat (average of beef, veal, pork, chicken), raw"
671,Minestrone
1087,Minipic sausage
1053,"Mirabelle plum, stewed, drained (without addition of sugar)"
732,Molasses
761,"Molluscs, blue mussel, raw"
457,"Morel, fresh"
1039,"Morel, stewed (without addition of fat and salt)"
819,Mortadella
717,"Mostbröckli (smoked and dried beef), raw"
82,Mozzarella
14123,"Muesli mix, crunchy, fortified with vitamin and mineral"
942,"Mueslimix, cereal with fruits and nuts, sweetened "
943,"Müeslimix, cereal with fruits and nuts, unsweetened"
14104,"Müeslimix, crunchy, sweetened (average) "
948,"Mueslimix, crunchy, with chocolate"
945,"Mueslimix, crunchy, with fruits, sweetened "
944,"Mueslimix, crunchy, with nuts and seeds, sweetened "
1128,"Mushroom (average), raw"
1129,"Mushroom (average), stewed (without addition of fat and salt)"
1585,"Mushroom risotto, prepared"
683,"Mushroom sauce, thickened"
688,Mushroom soup
629,"Mushroom, canned"
375,"Mushroom, raw"
1037,"Mushroom, stewed (without addition of fat and salt)"
13464,Mustard
1579,"Nasi Goreng, prepared"
404,"Nectarine, fresh"
767,"Norway lobster, raw"
915,Nut roll with yeast dough
871,Nut sticks
902,Nut tart from Engadin
769,"Oat bran, raw"
14114,"Oat drink, plain"
14130,"Oat drink, plain, with calcium and vitamin fortified"
198,Oat flakes
591,Olive oil
493,"Olive, black"
492,"Olive, green, in brine, drained"
10545,"Olives stuffed with minced meat, deep-fried"
1616,"Onion quiche, baked (with cake dough)"
1615,"Onion quiche, baked (with puff pastry)"
368,"Onion, raw"
1036,"Onion, roasted, brown (without addition of fat and salt)"
1035,"Onion, stewed (without addition of fat and salt)"
576,Orange juice
572,Orange nectar
405,"Orange, fresh"
708,"Palm oil, palm fat"
716,Pancetta
202,Panettone
779,"Pantli, beef and pork sausage"
13440,"Papaya, ripe, raw"
663,Paprika (spice)
482,Parmesan cheese
373,"Parsley, fresh"
13443,"Parsnip, cooked (without addition of salt)"
13439,"Parsnip, raw"
986,"Passion fruit, fresh"
1063,"Pasta egg-free, cooked in salted water (uniodised)"
800,"Pasta egg-free, dry"
1611,"Pasta gratin with ham, prepared"
1598,Pasta salad with French dressing
1597,Pasta salat with Italian dressing
1062,"Pasta with egg, cooked in salted water (uniodised)"
799,"Pasta with egg, dry"
13462,"Pasta, fresh, filled with meat, cooked"
13498,"Pasta, fresh, filled with spinach and ricotta, cooked (without addition of fat and salt)"
13489,"Pasta, fresh, filled with spinach and ricotta, raw"
13390,"Pea, mature seed, split, cooked (wothout addition of fat and salt)"
13389,"Pea, mature seed, split, dried"
624,"Peach, in syrup, canned, drained"
625,"Peach, with sweetener, canned, drained"
401,"Peach, yellow, fresh"
282,Peanut
751,Peanut butter
681,Peanut curls
596,Peanut oil
14092,"Peanut, roasted, salted"
562,Pear juice
1484,"Pear pie, home-made, baked (with cake dough)"
1483,"Pear pie, home-made, baked (with puff pastry)"
433,"Pear, dried"
620,"Pear, in syrup, canned, drained"
382,"Pear, raw"
1050,"Pear, stewed, drained (without addition of sugar)"
14098,"Pear, with sweetener, canned, drained"
429,Pearl barley
494,"Pearl onion, pickled"
787,Peasant's Schüblig
884,"Peiti Beurre with chocolate, cookie"
463,"Peppermint, fresh"
13459,"Pesto sauce, green"
13447,"Pesto sauce, red"
14074,"Petit Beurre, cookie"
14067,"Petit beurre, wholemeal cookie"
416,"Pike, raw"
283,Pine nuts
13880,Pineapple juice
377,"Pineapple, fresh"
14094,"Pineapple, in pineapple juice, canned, drained"
14095,"Pineapple, in pineapple juice, canned, not drained"
617,"Pineapple, in syrup, canned, drained"
14096,"Pineapple, with sweetener, canned, drained"
274,"Pistachio, dried"
1533,"Pizza Calzone, baked"
907,"Pizza doug ( with olive oil), raw"
1534,"Pizza Hawaii, baked"
1535,"Pizza Margherita, baked"
1539,"Pizza with four cheeses, baked"
1537,"Pizza with ham and mushrooms, baked"
1538,"Pizza with ham, baked"
1536,"Pizza with mascarpone and rocket, baked"
1532,"Pizza with tuna, baked"
1540,"Pizza with vegetables, baked"
1530,"Plum pie, home-made, baked (with cake dough)"
1528,"Plum pie, home-made, baked (with puff pastry)"
474,"Plum, fresh"
1054,"Plum, stewed, drained (without addition of sugar)"
10546,"Polenta nera (made from corn semolina and buckwheat flour,) cooked"
13882,"Pomegranate, raw"
12982,Pommes Chips
424,Popcorn
1668,"Porc piccata, prepared"
1102,"Pork (average excluding offal, chop, knuckle), raw"
594,Pork lard
1671,"Pork ragout with sauce, prepared"
1085,Pork sausage (Schweinsbratwurst)
1086,Pork sausage (Schweinswurst)
14089,"Pork sausage, grilled (without addition of fat and salt)"
13283,"Pork, chop, pan fried (without addition of fat and salt)"
8,"Pork, chop, raw"
13285,"Pork, chopped, pan fried (without addition of fat and salt)"
40,"Pork, chopped, raw"
1077,"Pork, chuck, medium, roast in oven (without addition of fat and salt)"
676,"Pork, chuck, roast, raw"
1079,"Pork, chuck, well done, roast in oven (without addition of fat and salt)"
43,"Pork, eye of round, raw"
13269,"Pork, filet, pan fried (without addition of fat and salt)"
677,"Pork, filet, raw1"
692,"Pork, ham from shoulder, cooked"
13289,"Pork, knuckle, braised (without addition of fat and salt)"
678,"Pork, knuckle, raw"
689,"Pork, liver, raw"
42,"Pork, loin, raw"
7,"Pork, minced, raw"
9,"Pork, ragout, raw"
13270,"Pork, round, schnitzel, pan fried (without addition of fat and salt)"
679,"Pork, round, schnitzel, raw"
39,"Pork, spare ribs, raw"
13284,"Pork, throat, pan fried (without addition of fat and salt)"
41,"Pork, throat, raw"
1511,"Porridge, prepared (with full fat milk, without addition of sugar)"
1512,"Porridge, prepared (with partially skimmed milk, without addition of sugar)"
516,"Port, 18.5 vol%"
12983,Potato chips fat reduced
860,"Potato flakes, with milk powder and salt (instant mashed potatoes)"
1516,Potato salad with mayonnaise yogurt dressing
1517,Potato salad with oil and vinagre dressing
497,Potato starch
813,"Potato, peeled, raw"
1057,"Potatoe, peeled, steamed (without addition of salt)"
1599,"Potatoes au gratin ""dauphinois"", prepared"
1600,"Potatoes au gratin ""savoyard"", prepared"
1100,"Poultry (average excluding offal), raw"
1109,"Poultry with skin (average), raw"
1108,"Poultry without skin (average excluding offal), raw"
947,Pretzel sticks (dry lye pretzel)
558,"Processed cheese, 15% fidm, slice"
560,"Processed cheese, 15% fidm, spreadable"
559,"Processed cheese, 45% fidm, slice"
561,"Processed cheese, 45% fidm, spreadable"
563,"Processed cheese, 50% fidm, slice"
565,"Processed cheese, 50% fidm, spreadable"
1531,"Prune plum pie, home-made, baked (with cake dough)"
1529,"Prune plum pie, home-made, baked (with puff pastry)"
479,"Prune plum, fresh"
1056,"Prune plum, stewed, drained (without addition of sugar)"
475,"Prune, dried"
874,Prussian cookie
806,"Pudding, caramel"
810,"Pudding, chocolate"
809,"Pudding, vanilla"
13445,"Puff pastry (with vegetable fat), raw"
928,Puff pastry sticks
904,"Puff pastry, home-made (with butter), raw"
905,"Puff pastry, home-made (with vegetable fat), raw"
1662,"Pumpkin piccata, prepared"
13404,Pumpkin seed oil
276,Pumpkin seeds
480,"Pumpkin, raw"
1020,"Pumpkin, steamed (without addition of salt)"
1541,"Quiche Lorraine, baked (with cake dough)"
1542,"Quiche Lorraine, baked (with puff pastry)"
1055,"Quince, cooked, drained (without addition of sugar)"
476,"Quince, fresh"
13396,"Quinoa, cooked (without addition of salt and fat)"
13394,"Quinoa, raw"
532,Raclette cheese
458,"Radicchio red, raw"
361,"Radish, raw"
456,"Radish, red, raw"
477,"Raisins, dried (grape)/ sultanas"
600,Rapeseed oil
1069,"Rapeseed oil HOLL (high oleic, low linolenic)"
917,Rascal (Shortbread cookie with jam)
390,"Raspberry, raw"
1665,"Ratatouille, prepared"
1117,Raw cured meat raw (average)
1114,Raw sausages (average)
1115,Raw sausages with interrupted maturation (average)
533,Reblochon cheese
364,"Red cabbage, raw"
1022,"Red cabbage, stewed (without addition of fat and salt)"
1592,"Red currant pie, home-made (with sweet short pastry base)"
1595,"Red currant pie, home-made, baked (with cake dough)"
1593,"Red currant pie, home-made, baked (with puff pastry)"
13477,"Rhubarb compote, with sugar"
1547,"Rhubarb pie, baked (with puff pastry)"
1548,"Rhubarb pie, home-made, baked (with cake dough)"
362,"Rhubarb, raw"
13450,"Rice drink, plain"
